"Huishoudens; samenstelling, grootte, regio, 1 januari"
""
"";"";"";"Onderwerp"
"";"";"";"Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens";"Particuliere huishoudens: samenstelling|Eenpersoonshuishouden";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen"
"Regio's";"Leeftijd referentiepersoon";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Amsterdam";"40 tot 45 jaar";"2000";"41347";"19001";"22346";"4911";"10437";"6750";"8108";"5618";"5563";"3057"
"Amsterdam";"40 tot 45 jaar";"2005";"46052";"20633";"25419";"5865";"11661";"7600";"8975";"6283";"6442";"3719"
"Amsterdam";"40 tot 45 jaar";"2010";"43354";"19271";"24083";"6301";"10815";"6641";"8223";"5885";"6286";"3689"
"Amsterdam";"40 tot 45 jaar";"2015";"41674";"17428";"24246";"7181";"10540";"6287";"8018";"5798";"6823";"3607"
"Amsterdam";"40 tot 45 jaar";"2020";"37536";"14942";"22594";"6788";"9990";"5556";"7317";"5445";"6344";"3488"
"Amsterdam";"45 tot 50 jaar";"2000";"35269";"16679";"18590";"3337";"9669";"5404";"7605";"4580";"4152";"2253"
"Amsterdam";"45 tot 50 jaar";"2005";"38998";"17914";"21084";"4189";"10069";"6604";"8258";"5294";"4894";"2638"
"Amsterdam";"45 tot 50 jaar";"2010";"42408";"18933";"23475";"4966";"11033";"7219";"8805";"5679";"5623";"3368"
"Amsterdam";"45 tot 50 jaar";"2015";"41173";"17746";"23427";"5702";"10715";"6852";"8252";"5559";"5880";"3736"
"Amsterdam";"45 tot 50 jaar";"2020";"38678";"15674";"23004";"5736";"10409";"6672";"7675";"5346";"6328";"3655"
"Amsterdam";"50 tot 55 jaar";"2000";"32350";"15595";"16755";"2465";"10502";"3639";"8763";"4168";"2547";"1277"
"Amsterdam";"50 tot 55 jaar";"2005";"33563";"16667";"16896";"2834";"9298";"4585";"8168";"4119";"3017";"1592"
"Amsterdam";"50 tot 55 jaar";"2010";"36590";"17580";"19010";"3423";"9716";"5682";"8448";"4886";"3788";"1888"
"Amsterdam";"50 tot 55 jaar";"2015";"40844";"18662";"22182";"4737";"10736";"6555";"9507";"5389";"4552";"2734"
"Amsterdam";"50 tot 55 jaar";"2020";"39450";"17320";"22130";"4861";"10597";"6521";"8656";"5425";"4978";"3071"
"Amsterdam";"55 tot 60 jaar";"2000";"22963";"11095";"11868";"1318";"8820";"1610";"7580";"2449";"1043";"796"
"Amsterdam";"55 tot 60 jaar";"2005";"30876";"16110";"14766";"2077";"10041";"2514";"9391";"3126";"1490";"759"
"Amsterdam";"55 tot 60 jaar";"2010";"31703";"16866";"14837";"2453";"8916";"3340";"8574";"3410";"1931";"922"
"Amsterdam";"55 tot 60 jaar";"2015";"35363";"18050";"17313";"3293";"9550";"4336";"9363";"4187";"2526";"1237"
"Amsterdam";"55 tot 60 jaar";"2020";"38974";"18829";"20145";"4049";"10681";"5263";"9870";"4907";"3423";"1945"
"Amsterdam";"60 tot 65 jaar";"2000";"18479";"9317";"9162";"841";"7388";"851";"6971";"1362";"471";"358"
"Amsterdam";"60 tot 65 jaar";"2005";"21407";"11181";"10226";"1077";"8010";"1054";"7460";"1688";"654";"424"
"Amsterdam";"60 tot 65 jaar";"2010";"28493";"15826";"12667";"1695";"9267";"1586";"9185";"2172";"873";"437"
"Amsterdam";"60 tot 65 jaar";"2015";"30079";"16787";"13292";"2297";"8626";"2256";"8960";"2596";"1141";"595"
"Amsterdam";"60 tot 65 jaar";"2020";"33539";"18239";"15300";"2790";"9249";"3126";"9480";"3337";"1659";"824"
"Amsterdam";"65 tot 70 jaar";"2000";"16353";"8690";"7663";"568";"6482";"550";"6567";"798";"184";"114"
"Amsterdam";"65 tot 70 jaar";"2005";"16907";"9268";"7639";"610";"6408";"558";"6273";"913";"272";"181"
"Amsterdam";"65 tot 70 jaar";"2010";"19419";"10846";"8573";"789";"7073";"667";"6818";"1132";"405";"218"
"Amsterdam";"65 tot 70 jaar";"2015";"26307";"15242";"11065";"1445";"8427";"1133";"8782";"1463";"529";"291"
"Amsterdam";"65 tot 70 jaar";"2020";"27994";"16623";"11371";"1800";"7887";"1604";"8527";"1829";"688";"327"
"Amsterdam";"70 tot 75 jaar";"2000";"15742";"9076";"6666";"409";"5753";"422";"6077";"498";"66";"25"
"Amsterdam";"70 tot 75 jaar";"2005";"14358";"8423";"5935";"381";"5087";"419";"5298";"490";"93";"54"
